_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65ade4618ba3c82532bb100e,,,,,,,Steam,,"Windows,OS X",Company:Anawiki Games,"Puzzle,",,,,2017-01-18;2017-01-18,2017-01-18,,1,1,arizona rose and the pharaohs riddles,575800,Cracked,TE,STEAM,2014-09-22,2014-09-22,0
_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65aed0d76934510c8657dd75,,,,,,,Steam,,Windows,Company:Offworld Industries,"FPS,",One-time game purchase,Multiplayer,,2020-09-23,2020-09-23,,1,1,squad,393380,Not Cracked,---,STEAM,2015-12-15,---,2959
_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65b050161235b5c6f2e39e6a,,,,,,,Steam,,Windows,Company:Adham Jaber,,,,,2016-02-01,2016-02-01,,1,1,horror in the asylum,428210,Cracked,UNLEASHED,STEAM,2016-02-01,2016-02-02,1
_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65b021639a30e9003aba7879,,,,,,,DRM-free,,"DOS,Windows,OS X,Linux",Company:Beyond Software,"RPG,",One-time game purchase,Singleplayer,"Company:Strategic Simulations Inc.,Company:GOG.com,Company:SNEG",1992-01-01;2015-08-20;2015-08-20;2015-08-20,2015-08-20,,1,1,treasures of the savage frontier,1904524,Cracked,RAZOR,STEAM,1992-03-14,1992-03-14,0
_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65ae2e4c8ba3c82532bb1225,,,,,,,Steam,,Windows,Company:High Tea Frog,,,,Company:Coatsink,2020-10-14,2020-10-14,,1,1,cake bash,971690,Not Cracked,---,STEAM,2020-10-15,---,1193
_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65b034201235b5c6f2e39d84,,,,,,,Steam,,Windows,Company:Studio Pixel,,One-time game purchase,,Company:AGM PLAYISM,2014-05-11,2014-05-11,,1,1,kero blaster,292500,Cracked,SIMPLEX,STEAM,2018-01-01,2018-01-01,0
_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65b0a3361235b5c6f2e3a159,,,,,,,Steam,,Windows,Company:Juicy Beast,,One-time game purchase,,,2015-09-29,2015-09-29,,1,1,toto temple deluxe,342920,Cracked,ALIAS,STEAM,2016-02-21,2016-02-21,0
_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65b0a3361235b5c6f2e3a159,,,,,,,Steam,,Windows,Company:Juicy Beast,,One-time game purchase,,,2015-09-29,2015-09-29,,1,1,toto temple deluxe,342920,Cracked,ALIAS,STEAM,2016-02-21,2016-02-21,0
_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65b0d4511235b5c6f2e3a32f,,,,,,,Steam,,Windows,Company:Shiisanmei,,One-time game purchase,,Company:Fruitbat Factory,2017-07-31,2017-07-31,,1,1,lionheart,494160,Cracked,DARKSIDERS,STEAM,2017-08-14,2017-08-14,0
